Title;Summary;Article URL;Date;Document_Type;Product_Type;Countries;Regions;Drug_names;Language;Source URL;title_english;summary_english;File_Name
PRAC mei 2025 - Nieuwe risicobeperkende maatregelen voor finasteride en dutasteride en start van een herziening van het Ixchiq-vaccin;Nieuwe risicobeperkende maatregelen voor finasteride en dutasteride goedgekeurd Nieuwe risicobeperkende maatregelen voor finasteride en dutasteride goedgekeurd Het Risicobeoordelingcomité voor geneesmiddelen (Pharmacovigilance Risk Assessment Committee, PRAC) van het Europees Geneesmiddelenbureau (European Medicines Agency, EMA) heeft de evaluatie afgerond van de veiligheid...;https://www.fagg.be/nl/news/prac_mei_2025_nieuwe_risicobeperkende_maatregelen_voor_finasteride_en_dutasteride_en_start_van;12/05/2025;Instructions;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Geef uw mening over een genetisch gewijzigd geneesmiddel tegen staaf-kegeldystrofie;Bij elke aanvraag voor het gebruik van een genetisch gewijzigd organisme in een klinische proef organiseert de overheid gedurende dertig dagen een publieksraadpleging, volgens het koninklijk besluit van 21 februari 2005 koninklijk besluit van 21 februari 2005 .;https://www.fagg.be/nl/news/geef_uw_mening_over_een_genetisch_gewijzigd_geneesmiddel_tegen_staaf_kegeldystrofie;19/05/2025;Other Type;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
In-house medische software: registratie en wetgeving voor zorginstellingen;Software die alleen data opslaat, communiceert, archiveert of eenvoudige zoekacties uitvoert, valt niet onder Verordening (EU) 2017/745 betreffende medische hulpmiddelen Verordening (EU) 2017/745 betreffende medische hulpmiddelen (Medical Device Regulation, MDR) of de Verordening (EU) 2017/746 betreffende medische hulpmiddelen voor in-vitrodiagnostiek...;https://www.fagg.be/nl/news/in_house_medische_software_registratie_en_wetgeving_voor_zorginstellingen;23/05/2025;Other Type;Drug Substance;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Nieuw contactformulier voor vragen over variaties en hernieuwingen vanaf 1 juni 2025;Vanaf 1 juni 2025 introduceert het Federaal Agentschap voor Geneesmiddelen en Gezondheidsproducten (FAGG) een nieuw contactformulier voor firma’s die vragen hebben rond hun dossiers van variaties en hernieuwingen voor geneesmiddelen voor menselijk gebruik. Vanaf 1 juni 2025 introduceert het Federaal...;https://www.fagg.be/nl/news/nieuw_contactformulier_voor_vragen_over_variaties_en_hernieuwingen_vanaf_1_juni_2025;27/05/2025;Other Type;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Nieuw: lijst met onbeschikbare medische hulpmiddelen die (een risico op) ernstige schade zouden kunnen veroorzaken;Meer informatie Meer informatie • Onbeschikbaarheid van gezondheidsproducten - medische hulpmiddelen Onbeschikbaarheid van gezondheidsproducten - medische hulpmiddelen • Verplichting voor fabrikanten om bepaalde onderbrekingen of stopzettingen van de levering van medische hulpmiddelen en medische hulpmiddelen voor in-vitrodiagnostiek te melden Verplichting...;https://www.fagg.be/nl/news/nieuw_lijst_met_onbeschikbare_medische_hulpmiddelen_die_een_risico_op_ernstige_schade_zouden;28/05/2025;Other Type;IVD;European Union;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Symposium over vaccins: inschrijvingen nu open;Een niet te missen evenement om de impact van het FAGG en de partners gedurende de hele levenscyclus van vaccins in België te verkennen, van de voorbereidingen van de eerste klinische proeven tot de observaties van het gebruik van vaccins...;https://www.fagg.be/nl/news/symposium_over_vaccins_inschrijvingen_nu_open;25/04/2025;Other Type;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Geef uw mening over een genetisch gewijzigd geneesmiddel tegen hemofilie B;Bij elke aanvraag voor het gebruik van een genetisch gewijzigd organisme in een klinische proef organiseert de overheid gedurende dertig dagen een publieksraadpleging, volgens het koninklijk besluit van 21 februari 2005 koninklijk besluit van 21 februari 2005 .;https://www.fagg.be/nl/news/geef_uw_mening_over_een_genetisch_gewijzigd_geneesmiddel_tegen_hemofilie_b;28/04/2025;Other Type;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Terugroepingen van batches van Genta-Equine 100 mg/ml oplossing voor injectie;Een toename in de frequentie van klinische tekens, inclusief tekenen van koliek/buikpijn en ataxie, werd waargenomen na blootstelling aan één van beide batches van Genta-Equine 100 mg/ml oplossing voor injectie voor paarden, T-001 (vervaldatum 30 april 2025) of V-001 (vervaldatum...;https://www.fagg.be/nl/news/terugroepingen_van_batches_van_genta_equine_100_mgml_oplossing_voor_injectie;16/04/2025;Communication;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
HERINNERING - Stopzetting van het in de handel brengen van Depakine (natriumvalproaat) 300 mg/5 ml siroop: opgelet voor medicatiefouten;Er zijn momenteel twee orale vloeibare vormen van Depakine in de handel: Vanaf 28 april 2025 Vanaf 28 april 2025 Sanofi Belgium heeft de gezondheidszorgbeoefenaars al eerder geïnformeerd geïnformeerd dat Depakine 300 mg/5 ml siroop definitief uit de handel zal...;https://www.fagg.be/nl/news/herinnering_stopzetting_van_het_in_de_handel_brengen_van_depakine_natriumvalproaat_300_mg5_ml;17/04/2025;Other Type;Other;Belgium;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Flash VIG-news : Progestageen-geassocieerd meningeoomrisico: huidige situatie en aanbevelingen;Om het risico op meningeoom te beperken, raadt het PRAC aan dat: • geneesmiddelen die deze progestagenen bevatten moeten worden gecontra-indiceerd gecontra-indiceerd bij patiënten met een meningeoom of een voorgeschiedenis van meningeoom met een meningeoom of een voorgeschiedenis van meningeoom...;https://www.fagg.be/nl/news/flash_vig_news_progestageen_geassocieerd_meningeoomrisico_huidige_situatie_en_aanbevelingen;21/03/2025;Regulatory Decision;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Illegale verkoop van geneesmiddelen: gezamenlijke actie van FOD Economie en FAGG legt grootschalige oplichting bloot;We hebben in België een ruim netwerk aan betrouwbare apotheken die u bovendien bijstaan met advies op maat.” Hugues Malonne, administrateur-generaal van het FAGG Hugues Malonne, administrateur-generaal van het FAGG Campagne over online aankoop van geneesmiddelen Campagne over online aankoop...;https://www.fagg.be/nl/news/illegale_verkoop_van_geneesmiddelen_gezamenlijke_actie_van_fod_economie_en_fagg_legt;15/04/2025;Other Type;Other;Belgium, Netherlands;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Wereldvaccinatieweek 2025: aantal gemelde bijwerkingen bij kinderen en jongeren blijft laag;De vijf meest gemelde bijwerkingen zijn: Ernstigere bijwerkingen werden minder vaak gemeld: 14 gevallen van stuipen, 10 gevallen van darminvaginatie (een deel van de darm schuift in een ander deel) en 7 gevallen van anafylactische reactie of shock van alle...;https://www.fagg.be/nl/news/wereldvaccinatieweek_2025_aantal_gemelde_bijwerkingen_bij_kinderen_en_jongeren_blijft_laag;24/04/2025;Other Type;Other;Global;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Controle op de conformiteit van de modellen van diergeneeskundige voorschriften tijdelijk niet prioritair;Door de vertraging in de aflevering van de voorschriften aan de dierenartsen, hebben nog niet alle dierenartsen de voorschriftmodellen die conform zijn aan het model dat is vastgelegd in het ministerieel besluit van 27 augustus 2024 tot vastlegging van het...;https://www.fagg.be/nl/news/controle_op_de_conformiteit_van_de_modellen_van_diergeneeskundige_voorschriften_tijdelijk_niet;15/04/2025;Other Type;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Oproep aan Belgische laboratoria om zich kandidaat te stellen als referentielaboratorium van de Europese Unie voor medische hulpmiddelen voor in-vitrodiagnostiek;Alle informatie over de EURL's, de oproep tot kandidatuurstelling en de praktische modaliteiten zijn beschikbaar in het Engels: • Second call for applications for designation of EU reference laboratories in the field of in vitro diagnostic medical devices Second call...;https://www.fagg.be/nl/news/oproep_aan_belgische_laboratoria_om_zich_kandidaat_te_stellen_als_referentielaboratorium_van_0;19/03/2025;Other Type;IVD;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Het FAGG nu ook op Instagram!;Om de Belgische burgers beter te informeren en te sensibiliseren, start het FAGG een eigen Instagram-account met inhoud op maat van het platform: infografieken, praktisch advies, nieuws over geneesmiddelen en gezondheidsproducten, en nog veel meer. Om de Belgische burgers beter...;https://www.fagg.be/nl/news/het_fagg_nu_ook_op_instagram;31/03/2025;Other Type;Drug Product;None;None;Twitter;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Nieuwe biovigilantieformulieren vanaf nu beschikbaar;Vier formulieren Vier formulieren Hiervoor stelt het FAGG vier nieuwe formulieren ter beschikking: Deze formulieren vergemakkelijken de verplichte melding door instellingen voor menselijk lichaamsmateriaal (SoHO-instellingen) en ziekenhuizen en maken een betere overgang mogelijk naar meldingen via een elektronisch systeem dat...;https://www.fagg.be/nl/news/nieuwe_biovigilantieformulieren_vanaf_nu_beschikbaar;21/03/2025;Other Type;Other;None;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
EMA publiceert eerste verslag over verkoop en gebruik van antimicrobiële stoffen bij dieren;Van de totale verkoop behoorde: Platform voor verkoop en gebruik van antimicrobiële stoffen (ASU) Platform voor verkoop en gebruik van antimicrobiële stoffen (ASU) Het verslag van de European Sales and Use of Antimicrobials for Veterinary Medicine (ESUAvet) bouwt voort op...;https://www.fagg.be/nl/news/ema_publiceert_eerste_verslag_over_verkoop_en_gebruik_van_antimicrobiele_stoffen_bij_dieren;08/04/2025;Other Type;Other;European Union;None;None;Unknown;https://www.fagg.be/nl/nieuws;None;None;BEnews_items.xlsx
Nieuwe aanbevelingen voor jaarlijkse beoordeling Mysimba en risico op hart- en vaatproblemen;Om het risico op hart- en vaatproblemen bij langdurig gebruik van het obesitasmedicijn Mysimba te beperken, zijn er nieuwe   ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/27/nieuwe-aanbevelingen-voor-jaarlijkse-beoordeling-mysimba-en-risico-op-hart--en-vaatproblemen;27-05-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Nieuwe aanbevelingen voor jaarlijkse beoordeling Mysimba en risico op hart- en vaatproblemen;Om het risico op hart- en vaatproblemen bij langdurig gebruik van het obesitasmedicijn Mysimba te beperken, zijn er nieuwe ...;CBGnews_items.xlsx
Advies bij uitvoeringsverordening EU 2024-1159;Sinds november 2024 is een nieuwe versie van de QRD template gepubliceerd  Handelsvergunningshouders moeten ervoor zorgen dat  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/27/advies-bij-uitvoeringsverordening-eu-2024-1159;27-05-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Advies bij uitvoeringsverordening EU 2024-1159;Sinds november 2024 is een nieuwe versie van de QRD template gepubliceerd. Handelsvergunningshouders moeten ervoor zorgen dat ...;CBGnews_items.xlsx
Wetenschapsbeleid 2025-2029: van expertise naar impact;Het CBG heeft een nieuw wetenschapsbeleid voor 2025-2029  Vier hoofdthema's zijn leidend voor regulatoire wetenschap binnen het  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/20/wetenschapsbeleid-2025-2029-van-expertise-naar-impact;20-05-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Wetenschapsbeleid 2025-2029: van expertise naar impact;Het CBG heeft een nieuw wetenschapsbeleid voor 2025-2029. Vier hoofdthema's zijn leidend voor regulatoire wetenschap binnen het ...;CBGnews_items.xlsx
Nieuw bewaaradvies borstkankermedicijn Kisqali;De bewaarcondities en houdbaarheid van het medicijn ribociclib (Kisqali) zijn aangepast  Het advies aan apothekers is om het  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/20/nieuw-bewaaradvies-borstkankermedicijn-kisqali;20-05-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Nieuw bewaaradvies borstkankermedicijn Kisqali;De bewaarcondities en houdbaarheid van het medicijn ribociclib (Kisqali) zijn aangepast. Het advies aan apothekers is om het ...;CBGnews_items.xlsx
BD start met publicatie GMP-inspecties;Bureau Diergeneesmiddelen (BD) publiceert vanaf dit jaar de rapporten van veterinaire GMP-inspecties  De rapporten zijn terug te  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/15/bd-start-met-publicatie-gmp-inspecties;15-05-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;BD start met publicatie GMP-inspecties;Bureau Diergeneesmiddelen (BD) publiceert vanaf dit jaar de rapporten van veterinaire GMP-inspecties. De rapporten zijn terug te ...;CBGnews_items.xlsx
Extra maatregelen om risico op zelfmoordgedachten te beperken bij gebruik finasteride;Zelfmoordgedachten kunnen voorkomen bij mensen die het medicijn finasteride gebruiken  Deze informatie stond al in de bijsluiter  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/09/extra-maatregelen-om-risico-op-zelfmoordgedachten-te-beperken-bij-gebruik-finasteride;09-05-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Extra maatregelen om risico op zelfmoordgedachten te beperken bij gebruik finasteride;Zelfmoordgedachten kunnen voorkomen bij mensen die het medicijn finasteride gebruiken. Deze informatie stond al in de bijsluiter ...;CBGnews_items.xlsx
Column 'Over medicijnen': Vaccin, wat zit erin?;Op sociale media zie ik wel eens berichten voorbijkomen over de samenstelling van vaccins  Wat er allemaal in zou zitten  Helaas ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/07/column-over-medicijnen-vaccin-wat-zit-erin;07-05-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Column 'Over medicijnen': Vaccin, wat zit erin?;Op sociale media zie ik wel eens berichten voorbijkomen over de samenstelling van vaccins. Wat er allemaal in zou zitten. Helaas ...;CBGnews_items.xlsx
Uitlegplaat: Wat zit er écht in een vaccin?;Op sociale media en internet gaan veel verhalen rond over wat er vaccins zit  Helaas gaat het vaak om onjuiste of misleidende  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/07/wat-zit-er-allemaal-in-een-vaccin;07-05-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Uitlegplaat: Wat zit er écht in een vaccin?;Op sociale media en internet gaan veel verhalen rond over wat er vaccins zit. Helaas gaat het vaak om onjuiste of misleidende ...;CBGnews_items.xlsx
Reserveren timeslots verplicht via planningstool vanaf 1 juli 2025;Het reserveren van een timeslot voor het aanvragen van een beoordelingsprocedure moet vanaf 1 juli verplicht via de   ...;https://www.cbg-meb.nl/actueel/nieuws/2025/05/01/reserveren-timeslots-verplicht-via-planningstool-vanaf-1-juli-2025;01-05-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Reserveren timeslots verplicht via planningstool vanaf 1 juli 2025;Het reserveren van een timeslot voor het aanvragen van een beoordelingsprocedure moet vanaf 1 juli verplicht via de ...;CBGnews_items.xlsx
Eerste behandeling van oogafwijkingen bij de ziekte van Graves;Het medicijn Tepezza (teprotunumab) mag een handelsvergunning krijgen  Dat is het advies van het Europese  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/04/28/eerste-behandeling-tegen-ziekte-van-graves-goedgekeurd;28-04-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Eerste behandeling van oogafwijkingen bij de ziekte van Graves;Het medicijn Tepezza (teprotunumab) mag een handelsvergunning krijgen. Dat is het advies van het Europese ...;CBGnews_items.xlsx
Positief advies met voorwaarden voor Duchenne-medicijn Duvyzat;Het medicijn Duvyzat (givinostat) voor de behandeling van de ziekte van Duchenne mag een voorwaardelijke handelsvergunning   ...;https://www.cbg-meb.nl/actueel/nieuws/2025/04/25/positief-advies-met-voorwaarden-voor-duchenne-medicijn-duvyzat;25-04-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Positief advies met voorwaarden voor Duchenne-medicijn Duvyzat;Het medicijn Duvyzat (givinostat) voor de behandeling van de ziekte van Duchenne mag een voorwaardelijke handelsvergunning ...;CBGnews_items.xlsx
2024 – jaar van verandering, vernieuwing en versterking;In 2024 waren we verantwoordelijk voor bijna 15 000 (kruiden)geneesmiddelen voor mensen en ruim 2 200 diergeneesmiddelen en ...;https://www.cbg-meb.nl/actueel/nieuws/2025/04/17/2024---jaar-van-verandering-vernieuwing-en-versterking;17-04-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;2024 – jaar van verandering, vernieuwing en versterking;In 2024 waren we verantwoordelijk voor bijna 15.000 (kruiden)geneesmiddelen voor mensen en ruim 2.200 diergeneesmiddelen en ...;CBGnews_items.xlsx
Vaststelling naamgeving influenzastammen 2025/2026;Het CBG heeft de Nederlandse vertaling van de werkzame bestanddelen voor influenzastammen voor het komend seizoen vastgesteld ...;https://www.cbg-meb.nl/actueel/nieuws/2025/04/03/vaststelling-naamgeving-influenzastammen-2025-2026;03-04-2025;Other Type;Other;Netherlands;Western Europe;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Vaststelling naamgeving influenzastammen 2025/2026;Het CBG heeft de Nederlandse vertaling van de werkzame bestanddelen voor influenzastammen voor het komend seizoen vastgesteld.;CBGnews_items.xlsx
Positief besluit voor blauwtongvaccin Bultavo 3;Bureau Diergeneesmiddelen van de Nederlandse medicijnautoriteit CBG heeft een positief besluit genomen over het blauwtongvaccin   ...;https://www.cbg-meb.nl/actueel/nieuws/2025/04/03/positief-besluit-voor-blauwtongvaccin-bultavo;03-04-2025;Other Type;Other;Netherlands;Western Europe;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Positief besluit voor blauwtongvaccin Bultavo 3;Bureau Diergeneesmiddelen van de Nederlandse medicijnautoriteit CBG heeft een positief besluit genomen over het blauwtongvaccin ...;CBGnews_items.xlsx
Column 'Over medicijnen': Wees voorzichtig met online medicijnen!;Internet maakt ons leven zo veel makkelijker  Een adres opzoeken of online eten bestellen: heel eenvoudig  Kopen van medicijnen...;https://www.cbg-meb.nl/actueel/nieuws/2025/04/02/column-over-medicijnen-wees-voorzichtig-met-online-medicijnen;02-04-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Column 'Over medicijnen': Wees voorzichtig met online medicijnen!;Internet maakt ons leven zo veel makkelijker. Een adres opzoeken of online eten bestellen: heel eenvoudig. Kopen van medicijnen? ...;CBGnews_items.xlsx
Tweede CBG pipelinemeeting in teken van platformtechnologie;De eerstvolgende pipelinemeeting van het CBG, op 3 juni 2025, staat in het teken van platformtechnologie  Geïnteresseerde firma’s  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/03/17/tweede-pipelinemeeting-in-teken-van-platformtechnologie;17-03-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Tweede CBG pipelinemeeting in teken van platformtechnologie;De eerstvolgende pipelinemeeting van het CBG, op 3 juni 2025, staat in het teken van platformtechnologie. Geïnteresseerde firma’s ...;CBGnews_items.xlsx
Schrijf je in voor de CBG Collegedag 2025;Op maandag 19 mei 2025 houden we onze jaarlijkse CBG Collegedag  Dit jaar is het thema 'De toekomst van medicijnbeoordeling: de  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/03/11/schrijf-je-in-voor-de-cbg-collegedag-2025;11-03-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Schrijf je in voor de CBG Collegedag 2025;Op maandag 19 mei 2025 houden we onze jaarlijkse CBG Collegedag. Dit jaar is het thema 'De toekomst van medicijnbeoordeling: de ...;CBGnews_items.xlsx
Column 'Over medicijnen': Medicijntekorten aanpakken doen we samen;Jaarlijks rond deze tijd presenteren we de cijfers van ons Meldpunt Geneesmiddelentekorten en -defecten  En het is helaas net als  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/03/05/column-over-medicijnen-medicijntekorten-aanpakken-doen-we-samen;05-03-2025;Other Type;Other;None;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Column 'Over medicijnen': Medicijntekorten aanpakken doen we samen;Jaarlijks rond deze tijd presenteren we de cijfers van ons Meldpunt Geneesmiddelentekorten en -defecten. En het is helaas net als ...;CBGnews_items.xlsx
Meer overheidsmaatregelen tegen medicijntekorten in 2024;Er zijn in 2024 opnieuw vaker maatregelen ingezet tegen medicijntekorten dan in de jaren daarvoor  Het College ter Beoordeling  ...;https://www.cbg-meb.nl/actueel/nieuws/2025/03/05/vaker-overheidsmaatregelen-tegen-medicijntekorten-in-2024;05-03-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Meer overheidsmaatregelen tegen medicijntekorten in 2024;Er zijn in 2024 opnieuw vaker maatregelen ingezet tegen medicijntekorten dan in de jaren daarvoor. Het College ter Beoordeling ...;CBGnews_items.xlsx
Combinatie van medicijnen tegen taaislijmziekte voor meer patiënten goedgekeurd;De medicijnen Kaftrio en Kalydeco kunnen samen gebruikt worden voor behandeling van patiënten met cystische fibrose (ook wel   ...;https://www.cbg-meb.nl/actueel/nieuws/2025/02/28/combinatie-van-medicijnen-tegen-taaislijmziekte-voor-meer-patienten-beschikbaar;28-02-2025;Other Type;Other;European Union;None;None;Unknown;https://www.cbg-meb.nl/actueel/nieuws?;Combinatie van medicijnen tegen taaislijmziekte voor meer patiënten goedgekeurd;De medicijnen Kaftrio en Kalydeco kunnen samen gebruikt worden voor behandeling van patiënten met cystische fibrose (ook wel ...;CBGnews_items.xlsx
